,addr_zip,Occurrences
0,11101,12
1,10457,12
2,10002,11
3,10456,11
4,10019,11
5,11201,11
6,10468,10
7,11208,9
8,10458,9
9,10011,9
10,10003,8
11,10023,8
12,11432,8
13,10451,8
14,10463,7
15,11214,7
16,11211,7
17,10473,7
18,11236,7
19,11207,6
20,11203,6
21,10029,6
22,10461,6
23,11225,6
24,10467,6
25,10040,5
26,10469,5
27,11237,5
28,10460,5
29,10472,5
30,11235,5
31,11226,5
32,11373,5
33,11206,5
34,11215,4
35,11221,4
36,10036,4
37,10038,4
38,10010,4
39,11411,4
40,11213,4
41,11413,4
42,10004,4
43,11106,4
44,11694,4
45,10455,4
46,10016,3
47,11205,3
48,10466,3
49,11354,3
50,10314,3
51,10301,3
52,10024,3
53,10030,3
54,10459,3
55,11375,3
56,11217,3
57,10454,3
58,10065,3
59,11212,3
60,11434,3
61,11691,3
62,11367,2
63,11366,2
64,11355,2
65,10453,2
66,11417,2
67,10306,2
68,11427,2
69,11433,2
70,11238,2
71,10475,2
72,10027,2
73,11224,2
74,10034,2
75,10006,2
76,10032,2
77,11204,2
78,10031,2
79,10026,2
80,10013,2
81,11233,2
82,11222,1
83,11220,1
84,11368,1
85,11223,1
86,11365,1
87,11364,1
88,11230,1
89,11361,1
90,11358,1
91,11229,1
92,11218,1
93,11231,1
94,10312,1
95,11232,1
96,10304,1
97,10302,1
98,11385,1
99,11418,1
100,11412,1
101,11216,1
102,10009,1
103,10462,1
104,10021,1
105,10033,1
106,10035,1
107,10039,1
108,10452,1
109,11102,1
110,11103,1
111,10128,1
112,11209,1
113,11426,1
114,11423,1
115,11420,1
116,11419,1
117,11210,1
118,11416,1
119,10282,1
